OBJECTID,STNAME,COUNT_LOCATION,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID
145,LAKE WASHINGTON BLVD E,"LAKE WASHINGTON BLVD E, NW/O E MADISON ST",2014,11209,15600,315940
146,4TH AVE S,"4TH AVE S, N/O S DAWSON ST",2014,6252,21800,316682
147,NE 50TH ST,"N 50TH ST, W/O 1ST AVE NE",2014,15656,25700,315197
148,MERCER ST,,0,0,0,0
149,ALASKAN WY VI ACUCT,,0,0,0,0
150,AURORA AVE N,WSDOT data,0,8900,67000,0
151,WEST SEATTLE BR EB & WB,"WEST SEATTLE BR (EB&WB), W/O ALASKAN WY VI NB ON RP",2014,13330,107300,316321
152,BROAD ST,"BROAD ST, NE/O DENNY WAY",2014,9416,8100,315879
153,STEWART ST,"STEWART ST, NE/O 4TH AVE",2014,12900,9700,314482
154,WESTLAKE AVE,"WESTLAKE AVE, S/O DENNY WAY",2014,13531,6000,315928
155,E MADISON ST,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E",2014,14364,16000,315950
156,35TH AVE SW,"35TH AVE SW, N/O SW ROXBURY ST",2014,5484,16300,315077
157,DENNY WAY,"DENNY WAY, E/O MINOR AVE",2014,158085,22700,316701
158,MONTLAKE BLVD NE,"MONTLAKE BLVD NE, N/O NE PACIFIC PL",2014,11911,48400,315964
159,DENNY WAY,"DENNY WAY, W/O 6TH AVE",2014,10007,29400,315126
160,NE 45TH ST,"NE 45TH ST, E/O 16TH AVE NE",2014,16854,24900,315914
161,MERCER ST,"MERCER ST, W/O FAIRVIEW AVE N",2014,11775,51700,316703
162,NE 45TH ST,"NE 45TH ST, W/O ROOSEVELT WAY NE",2014,16847,33300,315205
163,6TH AVE S,"6TH AVE S, S/O S FOREST ST",2014,7997,14200,315093
164,MONTLAKE BR,"MONTLAKE BR, S/O POINT A",2014,11902,57400,316704
165,STEWART ST RAMP,"STEWART ST (OFF&REV) RP, N/O STEWART ST",2014,489775,18600,316559
166,NICKERSON ST,"NICKERSON ST, NW/O FLORENTIA ST",2014,11970,19700,316454
167,GILMAN AVE W,"GILMAN AVE W, NW/O W EMERSON PL",2014,10638,12500,315980
168,2ND AVE,"2ND AVE, SE/O PIKE ST",2014,2757,15400,314752
169,RAINIER AVE S,"RAINIER AVE S, NW/O S MCCLELLAN ST",2014,12364,36600,315990
170,BOREN AVE,"BOREN AVE, SE/O PIKE ST",2014,9318,20400,315938
171,S JACKSON ST,"S JACKSON ST, W/O 23RD AVE S",2014,20501,11300,316505
172,N NORTHGATE WAY,"N NORTHGATE WAY, W/O ASHWORTH AVE N",2014,16114,19300,316590
173,NE PACIFIC ST,"NE PACIFIC ST, NE/O 2ND AVE NE",2014,18039,14500,315274
174,SEAVIEW AVE NW,"SEAVIEW AVE NW, N/O NW 67TH ST",2014,12762,3200,316276
175,NE 65TH ST,"NE 65TH ST, W/O 25TH AVE NE",2014,17277,15900,315968
176,WEST SEATTLE BR EB & WB,"WEST SEATTLE BR EB & WB, NE/O FAUNTLEROY WAY SW",2014,13333,52700,315858
177,BROAD ST,"BROAD ST, SW/O 3RD AVE",2014,9414,6600,315877
178,N 145TH ST,"N 145TH ST, W/O MERIDIAN AVE N",2014,15279,21100,316586
179,SW 106TH ST,"SW 106TH ST, W/O SEOLA BEACH DR SW",2014,21625,9300,316411
180,S COLUMBIAN WAY,"S COLUMBIAN EB&WB WAY, NW/O 14TH AVE S",2014,19710,39500,315292
181,DENNY WAY,"DENNY WAY, E/O WESTLAKE AVE",2014,10015,23400,316700
182,QUEEN ANNE AVE N,"QUEEN ANNE AVE N, S/O CROCKETT ST",2014,12312,12100,315599
183,12TH AVE E,"12TH AVE E, N/O E JOHN ST",2014,1551,8700,315932
184,M L KING JR WAY E,"M L KING JR WAY E, S/O E JOHN ST",2014,11495,9900,315944
185,S MICHIGAN ST,"S MICHIGAN ST, E/O 6TH AVE S",2014,20848,34600,315300
186,E YESLER WAY,"E YESLER WAY, W/O 23RD AVE",2014,14946,7500,315956
187,S OTHELLO ST,"S OTHELLO ST, E/O 43RD AVE S",2014,21055,7800,314416
188,11TH AVE NE,"11TH AVE NE, S/O NE 45TH ST",2014,1408,17100,314684
189,ROOSEVELT WAY NE,"ROOSEVELT WAY NE, N/O NE 73RD ST",2014,12623,11700,316484
190,8TH AVE NW,"8TH AVE NW, S/O NW 80TH ST",2014,8406,14000,316258
191,1ST AVE NE,"1ST AVE NE, S/O NE 145TH ST",2014,1113,5100,313833
192,FAUNTLEROY FERRY DOCK,"SW BARTON ST, SW/O FAUNTLEROY WAY SW",2014,21861,5200,316415
193,S DEARBORN ST,"S DEARBORN ST, W/O 13TH AVE S",2014,19832,21700,315296
194,5TH AVE,"5TH AVE, SE/O PIKE ST",2014,7235,12700,315091
195,RAINIER AVE S,"RAINIER AVE S, SE/O BOREN AVE S",2014,12340,31700,316489
196,NW MARKET ST,"NW MARKET ST, W/O 8TH AVE NW",2014,19223,27000,315278
197,WEST MARGINAL WAY SW,"WEST MARGINAL WAY SW, NW/O 2ND AVE SW",2014,23541,11000,315926
198,N 45TH ST,"N 45TH ST, W/O EASTERN AVE N",2014,15553,22200,315974
199,NE PACIFIC ST,"NE PACIFIC ST, NW/O NE PACIFIC PL",2014,18047,26700,316475
200,PINE ST,"PINE ST, NE/O 5TH AVE",2014,12218,9500,314737
201,MAGNOLIA BR,"MAGNOLIA BR, E/O W GARFIELD ST OFF RP",2014,11604,20700,315180
202,WESTLAKE AVE N,"WESTLAKE AVE N, S/O HIGHLAND DR",2014,13540,31900,315330
203,SW HOLDEN ST,"SW HOLDEN ST, W/O DELRIDGE WAY SW",2014,22372,6800,314743
204,HOWELL ST,"HOWELL ST, NE/O 9TH AVE",2014,10961,9300,313306
205,16TH AVE S,"16TH AVE S, N/O 16TH AVE S BR",2014,2315,15100,316245
206,BEACON AVE S,"BEACON AVE S, S/O S SPOKANE ST",2014,573395,13000,316699
207,PINE ST,"PINE ST, NE/O 9TH AVE",2014,12222,6700,315284
208,OLIVE WAY,"OLIVE WAY, NE/O 9TH AVE",2014,12047,10100,313799
209,ARIPORT WAY S,"AIRPORT WAY S, S/O S STACY ST",2014,8666,18700,315872
210,PIKE ST,"PIKE ST, SW/O TERRY AVE",2014,12205,10600,315282
211,COLUMBIA ST RAMP,"COLUMBIA ST EXPRESS RP, E/O COLUMBIA ST",2014,490100,1100,316650
212,OLIVE WAY,"OLIVE WAY, SW/O 5TH AVE",2014,12042,6200,314738
213,SR 522,"SR522, SW/O 12TH AVE NE",2014,10993,29900,315302
214,28TH AVE W,"28TH AVE W, S/O W DRAVUS ST",2014,4248,3700,314214
215,NE 65TH ST,"NE 65TH ST, W/O 15TH AVE NE",2014,17265,17100,316427
216,51ST AVE S,"51ST AVE S, S/O S BANGOR ST",2014,7537,6300,316256
217,NE 65TH ST,"NE 65TH ST, W/O ROOSEVELT WAY NE",2014,17261,16800,315209
218,NE PACIFIC ST,"NE PACIFIC ST, NW/O MONTLAKE BLVD NE",2014,18049,21500,315276
219,WEST SEATTLE BR EB & WB,WEST SEATTLE BR (EB&WB) E/O 1ST AV S OFF RP,2014,531032,94800,316718
220,UNIVERSITY ST,"UNIVERSITY ST, SW/O 4TH AVE",2014,13202,7500,315390
221,NE NORTHGATE WAY,"NE NORTHGATE WAY, E/O 5TH AVE NE",2014,18013,29600,315218
222,EAST GREEN LAKE WAY N,"EAST GREEN LAKE WAY N, NE/O N 57TH ST",2014,14073,16300,315639
223,HOLMAN RD NW,"HOLMAN RD NW, NE/O 13TH E AVE NW",2014,10940,27700,316591
224,MADISON ST,"MADISON ST, NE/O BOREN AVE",2014,11592,28800,316568
225,23RD AVE S,"23RD AVE S, S/O S JACKSON ST",2014,3444,17000,315067
226,E UNION ST,"E UNION ST, W/O 26TH AVE",2014,14903,9500,315954
227,BEACON AVE S,"BEACON AVE S, N/O S SPOKANE ST",2014,9125,11300,315988
228,ALASKAN WAY S,"ALASKAN WAY S, N/O S KING ST",2014,8738,7800,315883
229,1ST AVE,"1ST AVE, SE/O PIKE ST",2014,1008,21200,315057
230,WESTERN AVE,"WESTERN AVE, NW/O UNION ST",2014,13503,6600,316282
231,BOREN AVE,"BOREN AVE, NW/O E YESLER WAY",2014,9303,19400,315099
232,ROOSEVELT WAY NE,"ROOSEVELT WAY NE, S/O NE NORTHGATE WAY",2014,12652,10600,316423
233,FREMONT BR,"FREMONT BR, N/O POINT A",2014,10563,33900,315166
234,1ST AV S BR NB,"1ST AV S BR NB & SB, S/O POINT A",2014,1270,93900,316678
235,NE 50TH ST,"NE 50TH ST, W/O ROOSEVELT WAY NE",2014,16929,16300,316575
236,4TH AVE S,"4TH AVE S, N/O S MICHIGAN ST",2014,6261,19900,315081
237,SR509 NB,"SR509 NB & SB , S/O CLOVERDALE ST ON & OFF RP",2014,12881,61100,316705
238,S HENDERSON ST,"S HENDERSON ST, E/O RENTON AVE S",2014,20241,13300,315298
239,EAST MARGINAL WAY S,"EAST MARGINAL WAY S, SE/O 4TH AVE S",2014,14409,16600,315135
240,M L KING JR WAY S NB & SB,"M L KING JR ER & WR WAY S, SE/O S HOLLY ST",2014,486569,25500,316495
241,EAST MARGINAL WAY S,"EAST MARGINAL WAY S, SE/O BOEING DR",2014,14420,18600,315137
242,ALASKAN WAY,"ALASKAN WAY, SE/O PIKE ST",2014,269161,10600,316260
243,S GRAHAM ST,"S GRAHAM ST, E/O SWIFT AVE S",2014,20110,10200,316404
244,AURORA AVE N,"AURORA AVE N, S/O N 80TH ST",2014,8957,26800,316694
245,AURORA AVE N,"AURORA AVE N, S/O N 112TH ST",2014,8988,33500,316436
246,CALIFORNIA AVE SW,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW",2014,9555,13100,315998
